relation
wsi:applies
wsi:belongs_to_stage
wsi:has_Algorithm
wsi:has_Cancer_Types
wsi:has_Data
wsi:has_Description
wsi:has_Execution_Order
wsi:has_Max_Graph_Size
wsi:has_Method
wsi:has_Methodology_Start
wsi:has_Name
wsi:has_Parameter
wsi:has_Patch_Count_Average
wsi:has_Patient_Count
wsi:has_Size
wsi:has_Unit
wsi:has_Value
wsi:is_Part_Of
