relation
dct:creator
dct:isVersionOf
dct:license
dct:source
dct:version
rdfs:comment
rdfs:domain
rdfs:label
rdfs:range
rdfs:subClassOf
wsi:SlideEmbeddingVector
wsi:achieves
wsi:evaluatedOn
wsi:hasMetric
wsi:metricName
wsi:metricValue
wsi:task
wsi:usesHead
wsi:usesModel
wsi:visualizes
wsi:uses
wsi:initializes
wsi:hasStep
wsi:produces
wsi:input
