relation
ds:accessURL
ds:hasAlignmentMethod
ds:hasAnnotation
ds:hasAnnotationType
ds:hasClasses
ds:hasExclusionCriteria
ds:hasModality
ds:hasOrganCount
ds:hasPartition
ds:hasPreprocessing
ds:hasProcessing
ds:hasProportion
ds:hasSize
ds:hasSource
ds:hasSplit
ds:hasStain
ds:hasTarget
ds:isSubsetOf
ex:accessURL
ex:advantage
ex:appliesModel
ex:appliesTo
ex:cropSize
ex:enhances
ex:ensures
ex:formula
ex:generates
ex:hasArchitecture
ex:hasBatchSize
ex:hasCapabilities
ex:hasDescription
ex:hasEmbedDim
ex:hasFieldOfView
ex:hasGPUs
ex:hasHiddenDim
ex:hasModelType
ex:hasNumHeads
ex:hasNumLayers
ex:hasNumQueries
ex:hasPretrainingStage
ex:hasProtocol
ex:hasTrainingEpochs
ex:hasTrainingFramework
ex:hasTwoStages
ex:hasVersion
ex:hasViews
ex:isAvailableAt
ex:isCitedBy
ex:isDerivedFrom
ex:isExtrapolatable
ex:license
ex:providesAccessTo
ex:removes
ex:uses
ex:usesAugmentation
ex:usesClassifier
ex:usesData
ex:usesDecoder
ex:usesDecoding
ex:usesDistance
ex:usesFor
ex:usesImageEncoder
ex:usesMethod
ex:usesMetric
ex:usesMetrics
ex:usesModel
ex:usesNormalization
ex:usesPositionalEncoding
ex:usesRandomSampling
ex:usesRegularization
ex:usesSimilarity
ex:usesTextEncoder
ex:usesViewGeneration
ex:version
rdfs:comment
rdfs:label
